,timestamp,ent,type,new_ent
0,2024-06-28,"design, development and manufacture of these products",H_SKILL,"DESIGN, DEVELOPMENT AND MANUFACTURE OF THESE PRODUCTS"
0,2024-06-28,C,LANG_FRAM,C
0,2024-06-28,Python,LANG_FRAM,PYTHON
0,2024-06-28,work independently,S_SKILL,INDEPENDENT WORKING
0,2024-06-28,passionate,S_SKILL,PASSION AND ENTHUSIASM
0,2024-06-28,problem solver,S_SKILL,ANALYTICAL THINKING AND PROBLEM SOLVING
0,2024-06-28,agile/scrum environment,H_SKILL,AGILE
0,2024-06-28,CI/CD,H_SKILL,CI/CD
0,2024-06-28,Bachelor's degree,REQUIREMENT,BACHELOR'S
0,2024-06-28,", or proven development experience",S_SKILL,", OR PROVEN DEVELOPMENT EXPERIENCE"
0,2024-06-28,Windows,LANG_FRAM,WINDOWS
0,2024-06-28,Linux OS,LANG_FRAM,LINUX OS
0,2024-06-28,HTML,LANG_FRAM,HTML
0,2024-06-28,CSS,LANG_FRAM,CSS
0,2024-06-28,Java Script,LANG_FRAM,JAVA SCRIPT
0,2024-06-28,MQTT.,LANG_FRAM,MQTT.
0,2024-06-28,Front end/GUI,H_SKILL,FRONT END/GUI
0,2024-06-28,building & app development,H_SKILL,BUILDING & APP DEVELOPMENT
0,2024-06-28,CI/CD,H_SKILL,CI/CD
0,2024-06-28,version control,LANG_FRAM,"VERSION CONTROL (GIT, GITHUB, GITLAB, ETC.)"
0,2024-06-28,GitHub,LANG_FRAM,"VERSION CONTROL (GIT, GITHUB, GITLAB, ETC.)"
0,2024-06-28,Scrum team development,H_SKILL,SCRUM TEAM DEVELOPMENT
0,2024-06-28,Agile,H_SKILL,AGILE
0,2024-06-28,analyse design options,H_SKILL,ANALYSE DESIGN OPTIONS
0,2024-06-28,oral and written communications skills,S_SKILL,COMMUNICATION
0,2024-06-28,interpersonal/extensive team,S_SKILL,COLLABORATION AND TEAMWORK
0,2024-06-28,problem solve,S_SKILL,ANALYTICAL THINKING AND PROBLEM SOLVING
0,2024-06-28,finding effective solutions,H_SKILL,FINDING EFFECTIVE SOLUTIONS
0,2024-06-28,excellent work/life,S_SKILL,EXCELLENT WORK/LIFE
1,2024-06-28,degree,REQUIREMENT,DEGREE
1,2024-06-28,Bachelors,REQUIREMENT,BACHELOR'S
1,2024-06-28,Masters,REQUIREMENT,MASTER'S
1,2024-06-28,passion,S_SKILL,PASSION AND ENTHUSIASM
1,2024-06-28,communication skills,S_SKILL,COMMUNICATION
1,2024-06-28,analytical and problem-solving skills,S_SKILL,ANALYTICAL THINKING AND PROBLEM SOLVING
1,2024-06-28,ability to work well in a team environment,S_SKILL,COLLABORATION AND TEAMWORK
1,2024-06-28,Software Testing,H_SKILL,TESTING
1,2024-06-28,Agile,H_SKILL,AGILE
1,2024-06-28,C#,LANG_FRAM,C#
1,2024-06-28,Java,LANG_FRAM,JAVA
1,2024-06-28,JavaScript,LANG_FRAM,JAVASCRIPT
1,2024-06-28,penetration testing,H_SKILL,TESTING
1,2024-06-28,Microsoft,LANG_FRAM,MICROSOFT
2,2024-06-28,Cloud,LANG_FRAM,"CLOUD (GC, AWS, AZURE, ETC.)"
2,2024-06-28,Service Cloud,LANG_FRAM,"CLOUD (GC, AWS, AZURE, ETC.)"
2,2024-06-28,Cloud,LANG_FRAM,"CLOUD (GC, AWS, AZURE, ETC.)"
2,2024-06-28,Pardot,LANG_FRAM,PARDOT
2,2024-06-28,Cloud,LANG_FRAM,"CLOUD (GC, AWS, AZURE, ETC.)"
2,2024-06-28,identify areas of improvement. You'll love Reply,H_SKILL,IDENTIFY AREAS OF IMPROVEMENT. YOU'LL LOVE REPLY
2,2024-06-28,Hackathons,LANG_FRAM,HACKATHONS
2,2024-06-28,level design specifications,H_SKILL,LEVEL DESIGN SPECIFICATIONS
2,2024-06-28,Bachelor's degree,REQUIREMENT,BACHELOR'S
2,2024-06-28,2.1,REQUIREMENT,2:1
2,2024-06-28,communications skills,S_SKILL,COMMUNICATION
2,2024-06-28,passion,S_SKILL,PASSION AND ENTHUSIASM
3,2024-06-28,Computing,LANG_FRAM,COMPUTING
