,timestamp,ent,type
0,2024-06-28,code written in ‘C,H_SKILL
0,2024-06-28,Python,LANG_FRAM
0,2024-06-28,work independently,S_SKILL
0,2024-06-28,passionate,H_SKILL
0,2024-06-28,problem solver,S_SKILL
0,2024-06-28,enjoy a challenge,S_SKILL
0,2024-06-28,scrum,H_SKILL
0,2024-06-28,CI/CD,H_SKILL
0,2024-06-28,Bachelor's degree,REQUIREMENT
0,2024-06-28,development experience. Desired Characteristics & Technical Expertise,H_SKILL
0,2024-06-28,Windows,LANG_FRAM
0,2024-06-28,Linux,LANG_FRAM
0,2024-06-28,HTML,LANG_FRAM
0,2024-06-28,CSS,LANG_FRAM
0,2024-06-28,Java,LANG_FRAM
0,2024-06-28,CI/CD,H_SKILL
0,2024-06-28,GitHub,LANG_FRAM
0,2024-06-28,Scrum,H_SKILL
0,2024-06-28,development,H_SKILL
0,2024-06-28,Agile project,H_SKILL
0,2024-06-28,breaking,H_SKILL
0,2024-06-28,analyse design options and deliver the best solutions into the products. Awareness,H_SKILL
0,2024-06-28,oral and,S_SKILL
0,2024-06-28,communications skills,H_SKILL
0,2024-06-28,interpersonal/extensive team,H_SKILL
0,2024-06-28,building skills,S_SKILL
0,2024-06-28,problem solve,S_SKILL
0,2024-06-28,code and excellent,H_SKILL
1,2024-06-28,Bachelors,REQUIREMENT
1,2024-06-28,Masters,REQUIREMENT
1,2024-06-28,passion,S_SKILL
1,2024-06-28,communication,H_SKILL
1,2024-06-28,written and verbal.,H_SKILL
1,2024-06-28,analytical,S_SKILL
1,2024-06-28,problem,S_SKILL
1,2024-06-28,solving,H_SKILL
1,2024-06-28,ability to work,S_SKILL
1,2024-06-28,flexible in,LANG_FRAM
1,2024-06-28,Agile Development,H_SKILL
1,2024-06-28,C#,LANG_FRAM
1,2024-06-28,Java,LANG_FRAM
1,2024-06-28,JavaScript,LANG_FRAM
1,2024-06-28,SDET,LANG_FRAM
1,2024-06-28,Work for a multi-award-winning,H_SKILL
1,2024-06-28,"Microsoft, Natural Resources",LANG_FRAM
2,2024-06-28,define strategies,H_SKILL
2,2024-06-28,analysing our clients,H_SKILL
2,2024-06-28,identify areas of improvement. You'll love,H_SKILL
2,2024-06-28,passion,H_SKILL
2,2024-06-28,creating high-level and low,H_SKILL
2,2024-06-28,business analysis and obtain sign-off from our clients,S_SKILL
2,2024-06-28,Bachelor's degree,REQUIREMENT
2,2024-06-28,communications,S_SKILL
2,2024-06-28,passion,S_SKILL
2,2024-06-28,solving,H_SKILL
2,2024-06-28,using emerging technology,H_SKILL
2,2024-06-28,Flexibility,S_SKILL
2,2024-06-28,Flexible,S_SKILL
3,2024-06-28,’ll be helping your pupils discover and harness,LANG_FRAM
3,2024-06-28,’ll benefit from training,LANG_FRAM
3,2024-06-28,underachievement. We are very proud to have just received our second ‘,H_SKILL
3,2024-06-28,plan,S_SKILL
3,2024-06-28,ensure learning and progress,H_SKILL
3,2024-06-28,Maths,LANG_FRAM
3,2024-06-28,GCSE,REQUIREMENT
3,2024-06-28,maths,LANG_FRAM
3,2024-06-28,overseas eligibility,LANG_FRAM
3,2024-06-28,degree,REQUIREMENT
3,2024-06-28,Evidence,H_SKILL
3,2024-06-28,teaching,H_SKILL
3,2024-06-28,GCSE level can complete a GCSE,REQUIREMENT
4,2024-06-28,coach,H_SKILL
4,2024-06-28,work,H_SKILL
4,2024-06-28,coding,H_SKILL
4,2024-06-28,Sigma,LANG_FRAM
4,2024-06-28,think,H_SKILL
4,2024-06-28,problem,H_SKILL
4,2024-06-28,go,LANG_FRAM
4,2024-06-28,"maker. As a B-Corp with social mobility at the heart of our mission, we particularly want to hear from people who are not well represented in technology and high-performance jobs including female",LANG_FRAM
4,2024-06-28,degree,REQUIREMENT
4,2024-06-28,write complex code,H_SKILL
4,2024-06-28,Python,LANG_FRAM
4,2024-06-28,SQL,LANG_FRAM
4,2024-06-28,APIs,LANG_FRAM
4,2024-06-28,deploy,H_SKILL
4,2024-06-28,cloud,LANG_FRAM
4,2024-06-28,work with our clients,S_SKILL
4,2024-06-28,solve real-world problems,S_SKILL
5,2024-06-28,innovative,H_SKILL
5,2024-06-28,commercialisation,H_SKILL
5,2024-06-28,diligence.,LANG_FRAM
5,2024-06-28,promote IDTechEx,H_SKILL
5,2024-06-28,visiting,H_SKILL
5,2024-06-28,presenting,H_SKILL
5,2024-06-28,present your research findings and strategic insights. Assist,H_SKILL
5,2024-06-28,developing topic-specific strategies,H_SKILL
5,2024-06-28,proactive,S_SKILL
5,2024-06-28,Undergraduate,REQUIREMENT
5,2024-06-28,Master's degree,REQUIREMENT
5,2024-06-28,Material,REQUIREMENT
5,2024-06-28,PhD,REQUIREMENT
5,2024-06-28,seek out and present,H_SKILL
5,2024-06-28,"writing, with accompanying",H_SKILL
5,2024-06-28,conclusions,LANG_FRAM
5,2024-06-28,attention to detail,S_SKILL
5,2024-06-28,problem-solving,S_SKILL
5,2024-06-28,MS,LANG_FRAM
5,2024-06-28,Word,LANG_FRAM
5,2024-06-28,Excel,LANG_FRAM
5,2024-06-28,PowerPoint,LANG_FRAM
5,2024-06-28,Ability,H_SKILL
5,2024-06-28,work independently,S_SKILL
5,2024-06-28,collaborative,S_SKILL
5,2024-06-28,coach,H_SKILL
5,2024-06-28,Work at the forefront,S_SKILL
5,2024-06-28,"innovation, with great scope to identify and engage",H_SKILL
5,2024-06-28,leadership,S_SKILL
5,2024-06-28,clients,H_SKILL
5,2024-06-28,present,H_SKILL
5,2024-06-28,promote your work,H_SKILL
