,timestamp,ent,type
0,2024-06-28,Python,LANG_FRAM
0,2024-06-28,work independently,S_SKILL
0,2024-06-28,passionate,S_SKILL
0,2024-06-28,problem solver,S_SKILL
0,2024-06-28,agile/scrum environment,H_SKILL
0,2024-06-28,CI/CD,H_SKILL
0,2024-06-28,Bachelor's degree,REQUIREMENT
0,2024-06-28,Windows,LANG_FRAM
0,2024-06-28,Linux,LANG_FRAM
0,2024-06-28,HTML,LANG_FRAM
0,2024-06-28,CSS,LANG_FRAM
0,2024-06-28,Java,LANG_FRAM
0,2024-06-28,Front end/,H_SKILL
0,2024-06-28,CI/CD,H_SKILL
0,2024-06-28,version control,LANG_FRAM
0,2024-06-28,GitHub,LANG_FRAM
0,2024-06-28,Agile,H_SKILL
0,2024-06-28,oral and written communications,S_SKILL
0,2024-06-28,interpersonal/extensive team,S_SKILL
0,2024-06-28,problem solve,S_SKILL
1,2024-06-28,similarly technical degree,H_SKILL
1,2024-06-28,Bachelors,REQUIREMENT
1,2024-06-28,Masters,REQUIREMENT
1,2024-06-28,passion,S_SKILL
1,2024-06-28,communication skills,S_SKILL
1,2024-06-28,analytical and problem-,S_SKILL
1,2024-06-28,solving,S_SKILL
1,2024-06-28,ability to work well,S_SKILL
1,2024-06-28,Agile,H_SKILL
1,2024-06-28,C#,LANG_FRAM
1,2024-06-28,Java,LANG_FRAM
1,2024-06-28,JavaScript,LANG_FRAM
1,2024-06-28,leading test automation tools,H_SKILL
1,2024-06-28,"Microsoft,",LANG_FRAM
1,2024-06-28,going training,S_SKILL
2,2024-06-28,implementation and design of elegant systems,H_SKILL
2,2024-06-28,analysing our clients,H_SKILL
2,2024-06-28,identify areas of improvement. You,H_SKILL
2,2024-06-28,passion,S_SKILL
2,2024-06-28,document workflows,H_SKILL
2,2024-06-28,Bachelor's degree,REQUIREMENT
2,2024-06-28,2.1,REQUIREMENT
2,2024-06-28,communications skills,S_SKILL
2,2024-06-28,passion,S_SKILL
2,2024-06-28,Flexibility,S_SKILL
2,2024-06-28,Flexible,S_SKILL
3,2024-06-28,maintain/establish discipline,H_SKILL
3,2024-06-28,Maths,LANG_FRAM
3,2024-06-28,GCSE,REQUIREMENT
3,2024-06-28,maths,LANG_FRAM
3,2024-06-28,degree,REQUIREMENT
3,2024-06-28,GCSE,REQUIREMENT
4,2024-06-28,quality technical and professional,H_SKILL
4,2024-06-28,technical support,H_SKILL
4,2024-06-28,mindset training,S_SKILL
4,2024-06-28,seeing each other,S_SKILL
4,2024-06-28,performance jobs,H_SKILL
4,2024-06-28,degree,REQUIREMENT
4,2024-06-28,write complex code,H_SKILL
4,2024-06-28,Python,LANG_FRAM
4,2024-06-28,SQL,LANG_FRAM
4,2024-06-28,APIs,LANG_FRAM
4,2024-06-28,deploy,H_SKILL
4,2024-06-28,cloud,LANG_FRAM
4,2024-06-28,problem-,S_SKILL
5,2024-06-28,commercialisation advice.,S_SKILL
5,2024-06-28,analysis of market opportunities and forecasts,H_SKILL
5,2024-06-28,present your research findings and strategic insights,S_SKILL
5,2024-06-28,proactive,S_SKILL
5,2024-06-28,Master's degree,REQUIREMENT
5,2024-06-28,PhD,REQUIREMENT
5,2024-06-28,ability to seek out and present compelling new information and articulate,S_SKILL
5,2024-06-28,analysis both verbally and,H_SKILL
5,2024-06-28,conclusions,S_SKILL
5,2024-06-28,attention to detail,S_SKILL
5,2024-06-28,quantitative problem-,S_SKILL
5,2024-06-28,solving,S_SKILL
5,2024-06-28,Word,LANG_FRAM
5,2024-06-28,Excel,LANG_FRAM
5,2024-06-28,PowerPoint,LANG_FRAM
5,2024-06-28,work independently,S_SKILL
5,2024-06-28,collaborative,S_SKILL
5,2024-06-28,English language skills,S_SKILL
5,2024-06-28,leadership,S_SKILL
5,2024-06-28,presentation skills,S_SKILL
6,2024-06-28,house web development team,H_SKILL
6,2024-06-28,front end and back end development,H_SKILL
6,2024-06-28,coding,H_SKILL
6,2024-06-28,javascript,LANG_FRAM
6,2024-06-28,front end,H_SKILL
6,2024-06-28,node.js,LANG_FRAM
6,2024-06-28,PHP,LANG_FRAM
6,2024-06-28,SQL,LANG_FRAM
6,2024-06-28,MariaDB,LANG_FRAM
6,2024-06-28,MongoDB,LANG_FRAM
6,2024-06-28,Rust,LANG_FRAM
6,2024-06-28,problem solver,S_SKILL
6,2024-06-28,logical,S_SKILL
6,2024-06-28,organised,S_SKILL
6,2024-06-28,think clearly and logically,S_SKILL
6,2024-06-28,passion,S_SKILL
6,2024-06-28,develop,H_SKILL
6,2024-06-28,coding,H_SKILL
6,2024-06-28,degree,REQUIREMENT
7,2024-06-28,solver,S_SKILL
7,2024-06-28,logical,S_SKILL
7,2024-06-28,grasp of programming?,H_SKILL
7,2024-06-28,build data warehouses,H_SKILL
7,2024-06-28,development,H_SKILL
7,2024-06-28,mentor,S_SKILL
7,2024-06-28,Python,LANG_FRAM
7,2024-06-28,Python,LANG_FRAM
7,2024-06-28,Node.js,LANG_FRAM
7,2024-06-28,C#,LANG_FRAM
7,2024-06-28,ASP.NET,LANG_FRAM
7,2024-06-28,MongoDB,LANG_FRAM
7,2024-06-28,SQL Server,LANG_FRAM
7,2024-06-28,willingness to learn,S_SKILL
8,2024-06-28,"microcontroller software for use in EV applications Support the operation of the software, during product sign",H_SKILL
8,2024-06-28,C programming,LANG_FRAM
8,2024-06-28,Version control systems,LANG_FRAM
8,2024-06-28,BSc,REQUIREMENT
8,2024-06-28,motivated,S_SKILL
8,2024-06-28,proactive,S_SKILL
8,2024-06-28,creative,S_SKILL
8,2024-06-28,inquisitive,S_SKILL
8,2024-06-28,attention to detail,S_SKILL
8,2024-06-28,driven,S_SKILL
8,2024-06-28,problem solving,S_SKILL
8,2024-06-28,team player,S_SKILL
9,2024-06-28,commercialisation advice.,S_SKILL
9,2024-06-28,analysis of market opportunities and forecasts,H_SKILL
9,2024-06-28,present your research findings and strategic insights,S_SKILL
9,2024-06-28,proactive,S_SKILL
9,2024-06-28,Master's degree,REQUIREMENT
9,2024-06-28,PhD,REQUIREMENT
9,2024-06-28,ability to seek out and present compelling new information and articulate,S_SKILL
9,2024-06-28,analysis both verbally and,H_SKILL
9,2024-06-28,conclusions,S_SKILL
9,2024-06-28,attention to detail,S_SKILL
9,2024-06-28,quantitative problem-,S_SKILL
9,2024-06-28,solving,S_SKILL
9,2024-06-28,Word,LANG_FRAM
