,timestamp,ent,type
0,2024-06-28,"design, development and manufacture of these products",H_SKILL
0,2024-06-28,Raspberry PI,LANG_FRAM
0,2024-06-28,C’,LANG_FRAM
0,2024-06-28,Python,LANG_FRAM
0,2024-06-28,work independently,S_SKILL
0,2024-06-28,passionate,S_SKILL
0,2024-06-28,problem solver,S_SKILL
0,2024-06-28,agile/scrum environment,H_SKILL
0,2024-06-28,CI/CD,H_SKILL
0,2024-06-28,Bachelor's degree,REQUIREMENT
0,2024-06-28,Windows,LANG_FRAM
0,2024-06-28,Linux,LANG_FRAM
0,2024-06-28,OS,LANG_FRAM
0,2024-06-28,HTML,LANG_FRAM
0,2024-06-28,CSS,LANG_FRAM
0,2024-06-28,Java,LANG_FRAM
0,2024-06-28,MQTT,LANG_FRAM
0,2024-06-28,Front end,H_SKILL
0,2024-06-28,CI/CD,H_SKILL
0,2024-06-28,version control,LANG_FRAM
0,2024-06-28,GitHub,LANG_FRAM
0,2024-06-28,Agile,H_SKILL
0,2024-06-28,analyse design options and deliver the best solutions,H_SKILL
0,2024-06-28,oral and written communications skills,S_SKILL
0,2024-06-28,interpersonal/extensive,S_SKILL
0,2024-06-28,building skills,H_SKILL
0,2024-06-28,problem solve,S_SKILL
0,2024-06-28,finding effective solutions,H_SKILL
1,2024-06-28,degree,REQUIREMENT
1,2024-06-28,Bachelors,REQUIREMENT
1,2024-06-28,Masters,REQUIREMENT
1,2024-06-28,passion,S_SKILL
1,2024-06-28,communication skills,S_SKILL
1,2024-06-28,analytical,S_SKILL
1,2024-06-28,problem,S_SKILL
1,2024-06-28,solving skills,S_SKILL
1,2024-06-28,ability to work well in a team environment,S_SKILL
1,2024-06-28,Agile,H_SKILL
1,2024-06-28,C#,LANG_FRAM
1,2024-06-28,Java,LANG_FRAM
1,2024-06-28,JavaScript,LANG_FRAM
1,2024-06-28,leading test automation tools,H_SKILL
1,2024-06-28,penetration testing,H_SKILL
1,2024-06-28,dummy,LANG_FRAM
1,2024-06-28,Microsoft,LANG_FRAM
2,2024-06-28,Service Cloud,LANG_FRAM
2,2024-06-28,Cloud,LANG_FRAM
