,ent,type
0,degree,REQUIREMENT
1,C,LANG_FRAM
2,Python,LANG_FRAM
3,work independently,S_SKILL
4,passionate,S_SKILL
5,problem solver,S_SKILL
6,Operate in an agile/scrum environment,H_SKILL
7,CI/CD,H_SKILL
8,Bachelor's degree,REQUIREMENT
9,proven development,H_SKILL
10,Windows,LANG_FRAM
11,Linux,LANG_FRAM
12,OS,LANG_FRAM
13,HTML,LANG_FRAM
14,CSS,LANG_FRAM
15,Java,LANG_FRAM
16,Script,LANG_FRAM
17,CI/CD,H_SKILL
18,version control,LANG_FRAM
19,GitHub,LANG_FRAM
20,Scrum,H_SKILL
21,Agile project,H_SKILL
22,problem statements,H_SKILL
23,analyse design options,H_SKILL
24,oral and written communications,S_SKILL
25,interpersonal/extensive team,S_SKILL
26,problem solve,S_SKILL
27,Bachelors,REQUIREMENT
28,Masters,S_SKILL
29,passion,S_SKILL
30,communication skills,S_SKILL
31,analytical,S_SKILL
32,problem-,S_SKILL
33,solving skills,S_SKILL
34,work well in a team environment,S_SKILL
35,flexible,S_SKILL
36,Agile Development,H_SKILL
37,C#,LANG_FRAM
38,Java,LANG_FRAM
39,JavaScript,LANG_FRAM
40,leading test automation tools,H_SKILL
41,"Microsoft, Natural Resources",LANG_FRAM
42,Cloud,LANG_FRAM
43,"Pardot, Marketing Cloud",LANG_FRAM
44,Mulesoft),LANG_FRAM
45,think we offer,S_SKILL
46,supporting our clients,S_SKILL
47,analysing our clients,H_SKILL
48,Code,H_SKILL
49,passion,S_SKILL
50,document workflows,H_SKILL
51,business analysis,H_SKILL
52,Bachelor's degree,REQUIREMENT
53,2.1,LANG_FRAM
54,communications,S_SKILL
55,passion,S_SKILL
56,solving,S_SKILL
57,Flexibility,S_SKILL
58,Flexible attitude,S_SKILL
59,Discover the joys of teaching and get rewarded,H_SKILL
60,plan,S_SKILL
61,GCSE,REQUIREMENT
62,Bachelor’s,REQUIREMENT
63,degree,REQUIREMENT
64,GCSE,REQUIREMENT
65,GCSE,REQUIREMENT
