,timestamp,ent,type
0,2024-06-28,C,LANG_FRAM
0,2024-06-28,Python,LANG_FRAM
0,2024-06-28,work independently,S_SKILL
0,2024-06-28,passionate,S_SKILL
0,2024-06-28,problem solver,S_SKILL
0,2024-06-28,agile/scrum environment,H_SKILL
0,2024-06-28,CI/CD,H_SKILL
0,2024-06-28,Bachelor's degree,REQUIREMENT
0,2024-06-28,", or proven",S_SKILL
0,2024-06-28,Windows,LANG_FRAM
0,2024-06-28,Linux,LANG_FRAM
0,2024-06-28,HTML,LANG_FRAM
0,2024-06-28,CSS,LANG_FRAM
0,2024-06-28,Java,LANG_FRAM
0,2024-06-28,Front end/GUI building & app development,H_SKILL
0,2024-06-28,CI/CD,H_SKILL
0,2024-06-28,version control,LANG_FRAM
0,2024-06-28,GitHub,LANG_FRAM
0,2024-06-28,Scrum,S_SKILL
0,2024-06-28,Agile,H_SKILL
0,2024-06-28,analyse design options,H_SKILL
0,2024-06-28,oral and written communications skills,S_SKILL
0,2024-06-28,interpersonal/extensive team,S_SKILL
0,2024-06-28,problem solve,S_SKILL
1,2024-06-28,technical degree,H_SKILL
1,2024-06-28,Bachelors,REQUIREMENT
1,2024-06-28,Masters,REQUIREMENT
1,2024-06-28,passion,S_SKILL
1,2024-06-28,communication skills,S_SKILL
1,2024-06-28,analytical and problem-solving,S_SKILL
1,2024-06-28,flexible,S_SKILL
1,2024-06-28,Agile,H_SKILL
1,2024-06-28,C#,LANG_FRAM
1,2024-06-28,Java,LANG_FRAM
1,2024-06-28,JavaScript,LANG_FRAM
1,2024-06-28,penetration testing,H_SKILL
1,2024-06-28,"Microsoft, Natural Resources",LANG_FRAM
1,2024-06-28,going training and incentives!,S_SKILL
2,2024-06-28,Service Cloud,LANG_FRAM
2,2024-06-28,Cloud,LANG_FRAM
2,2024-06-28,supporting our clients,S_SKILL
2,2024-06-28,identify areas of improvement.,H_SKILL
2,2024-06-28,Bachelor's degree,REQUIREMENT
2,2024-06-28,2.1,REQUIREMENT
2,2024-06-28,communications skills,S_SKILL
2,2024-06-28,passion,S_SKILL
2,2024-06-28,hunger to learn,S_SKILL
3,2024-06-28,Discover the joys of teaching and get rewarded,H_SKILL
3,2024-06-28,quality teaching,H_SKILL
3,2024-06-28,maintain/establish,H_SKILL
3,2024-06-28,across the whole school,S_SKILL
3,2024-06-28,Maths and English,H_SKILL
3,2024-06-28,GCSE,REQUIREMENT
3,2024-06-28,Undergraduate Bachelor,LANG_FRAM
3,2024-06-28,degree,REQUIREMENT
4,2024-06-28,technical support,H_SKILL
4,2024-06-28,performance mindset,S_SKILL
4,2024-06-28,coding,H_SKILL
4,2024-06-28,Sigma,LANG_FRAM
4,2024-06-28,degree,REQUIREMENT
4,2024-06-28,Python,LANG_FRAM
4,2024-06-28,SQL,LANG_FRAM
4,2024-06-28,APIs,LANG_FRAM
4,2024-06-28,work with structured,S_SKILL
4,2024-06-28,deploy,H_SKILL
4,2024-06-28,cloud,LANG_FRAM
4,2024-06-28,problem-solving,S_SKILL
4,2024-06-28,Sigma,LANG_FRAM
5,2024-06-28,strong scientific background and genuine,H_SKILL
5,2024-06-28,understanding technically complex emerging technologies,H_SKILL
5,2024-06-28,commercialisation advice,S_SKILL
5,2024-06-28,patent analysis,H_SKILL
5,2024-06-28,tracking global trends and other methods,H_SKILL
5,2024-06-28,present your research findings and strategic insights,S_SKILL
5,2024-06-28,proactive,S_SKILL
5,2024-06-28,Undergraduate/Master's degree,H_SKILL
5,2024-06-28,PhD,REQUIREMENT
5,2024-06-28,continuously learn,S_SKILL
5,2024-06-28,ability to seek out and present compelling new information and articulate,S_SKILL
5,2024-06-28,attention to detail,S_SKILL
5,2024-06-28,MS Word,LANG_FRAM
5,2024-06-28,Excel,LANG_FRAM
5,2024-06-28,PowerPoint,LANG_FRAM
5,2024-06-28,work independently,S_SKILL
5,2024-06-28,collaborative attitude,S_SKILL
5,2024-06-28,language skills,S_SKILL
5,2024-06-28,Work at the forefront of technology innovation,S_SKILL
5,2024-06-28,leadership,S_SKILL
5,2024-06-28,presentation skills,S_SKILL
