,ent,type
0,"design, development and manufacture of these products",H_SKILL
1,C’,LANG_FRAM
2,Python,LANG_FRAM
3,work independently,S_SKILL
4,passionate,S_SKILL
5,problem solver,S_SKILL
6,agile/scrum environment,H_SKILL
7,CI/CD,H_SKILL
8,Bachelor's degree,REQUIREMENT
9,Windows,LANG_FRAM
10,Linux,LANG_FRAM
11,HTML,LANG_FRAM
12,CSS,LANG_FRAM
13,Java,LANG_FRAM
14,Front end/,H_SKILL
15,CI/CD,H_SKILL
16,version control,LANG_FRAM
17,GitHub,LANG_FRAM
18,Scrum team development,H_SKILL
19,Agile project management,H_SKILL
20,analyse design options,H_SKILL
21,oral and written communications skills,S_SKILL
22,interpersonal/extensive,S_SKILL
23,problem solve,S_SKILL
24,excellent work/life balance,S_SKILL
25,"winning, market-",H_SKILL
26,degree,REQUIREMENT
27,Bachelors,REQUIREMENT
28,Masters.,REQUIREMENT
29,passion,S_SKILL
30,communication skills,S_SKILL
31,analytical and problem-,S_SKILL
32,solving,S_SKILL
33,Agile,H_SKILL
34,C#,LANG_FRAM
35,Java,LANG_FRAM
36,JavaScript,LANG_FRAM
37,Microsoft,LANG_FRAM
38,going training,S_SKILL
39,Cloud,LANG_FRAM
40,Cloud,LANG_FRAM
41,Cloud,LANG_FRAM
42,supporting our clients,S_SKILL
43,analysing our clients,H_SKILL
44,identify areas of improvement,H_SKILL
45,passion,S_SKILL
46,transmitting the business requirements,H_SKILL
47,analysis and obtain sign,H_SKILL
48,Bachelor's degree,REQUIREMENT
49,2.1,REQUIREMENT
50,communications skills,S_SKILL
51,passion,S_SKILL
52,for solving,S_SKILL
53,hunger to learn,S_SKILL
54,quality teaching and thoughtful consideration of all backgrounds and needs,H_SKILL
55,plan,S_SKILL
56,maintain/establish discipline,H_SKILL
57,GCSE or equivalent (and a Science subject,REQUIREMENT
58,Undergraduate,REQUIREMENT
59,Bachelor’s degree,REQUIREMENT
60,degree,REQUIREMENT
61,GCSE requirement,LANG_FRAM
62,quality technical and professional training,H_SKILL
63,coaching,S_SKILL
64,technical support,H_SKILL
65,coding,H_SKILL
66,Sigma,LANG_FRAM
67,Corp with social mobility,H_SKILL
68,performance jobs including female candidates,H_SKILL
69,degree,REQUIREMENT
70,write complex code,H_SKILL
71,Python,LANG_FRAM
72,SQL,LANG_FRAM
73,APIs,LANG_FRAM
74,work with structured and unstructured,S_SKILL
75,deploy,H_SKILL
76,cloud,LANG_FRAM
77,problem-solving,S_SKILL
78,solve real,S_SKILL
79,Sigma,LANG_FRAM
80,strong scientific background,H_SKILL
81,understanding technically complex emerging technologies,H_SKILL
82,analysis of market opportunities and forecasts,H_SKILL
83,develop infographics. Represent IDTechEx at international events and by visiting organisations,H_SKILL
84,presenting your work,S_SKILL
85,present your research findings and strategic insights,H_SKILL
86,Undergraduate,REQUIREMENT
87,Master's degree,REQUIREMENT
88,Material Science,LANG_FRAM
89,PhD,REQUIREMENT
90,ability to seek out and present compelling new information and articulate,S_SKILL
91,"analysis both verbally and in writing, with accompanying visuals",H_SKILL
92,attention to detail,S_SKILL
93,solving,S_SKILL
94,MS Word,LANG_FRAM
95,Excel,LANG_FRAM
96,PowerPoint,LANG_FRAM
97,work independently,S_SKILL
98,collaborative attitude,S_SKILL
99,language skills,S_SKILL
100,leadership,S_SKILL
101,presentation skills,S_SKILL
102,engage with clients,S_SKILL
103,front end and back end development,H_SKILL
104,coding,H_SKILL
105,javascript,LANG_FRAM
106,front end,H_SKILL
107,node.js,LANG_FRAM
108,PHP,LANG_FRAM
109,SQL,LANG_FRAM
110,MariaDB,LANG_FRAM
111,MongoDB,LANG_FRAM
112,Rust,LANG_FRAM
113,problem solver,S_SKILL
114,logical,S_SKILL
115,organised,S_SKILL
116,think clearly and logically,S_SKILL
117,passion,S_SKILL
118,develop,H_SKILL
119,coding,H_SKILL
120,degree,REQUIREMENT
121,problem-solver with a,S_SKILL
122,gift,S_SKILL
123,logical,S_SKILL
124,development,H_SKILL
125,Python,LANG_FRAM
126,Python,LANG_FRAM
127,Node.js,LANG_FRAM
128,C#,LANG_FRAM
129,ASP.NET,LANG_FRAM
130,MongoDB,LANG_FRAM
131,SQL Server,LANG_FRAM
132,problem quickly,S_SKILL
133,analytical outlook,S_SKILL
134,willingness to learn,S_SKILL
135,Implementation of a single development lifecycle,H_SKILL
136,Deployment,H_SKILL
137,Go,LANG_FRAM
138,Java,LANG_FRAM
139,REST Services,LANG_FRAM
140,Micro Services,LANG_FRAM
141,SQL,LANG_FRAM
142,NoSQL,LANG_FRAM
143,Docker,LANG_FRAM
144,Hadoop,LANG_FRAM
145,Bitbucket,LANG_FRAM
146,Unix,LANG_FRAM
147,Shell,LANG_FRAM
148,Masters degree,REQUIREMENT
149,Java,LANG_FRAM
150,HTML,LANG_FRAM
151,CSS,LANG_FRAM
152,Angular,LANG_FRAM
153,ML,LANG_FRAM
154,AI,LANG_FRAM
155,address problems head,S_SKILL
156,Highly driven and resourceful,S_SKILL
157,collaborate,S_SKILL
158,AMG,H_SKILL
159,Developing software,H_SKILL
160,C programming,LANG_FRAM
161,Agile software development processes,H_SKILL
162,Version control systems,LANG_FRAM
163,BEng,REQUIREMENT
164,BSc,REQUIREMENT
165,2:1,REQUIREMENT
166,motivated,S_SKILL
167,proactive,S_SKILL
168,creative,S_SKILL
169,inquisitive,S_SKILL
170,attention to detail,S_SKILL
171,problem solving,S_SKILL
172,written communication,S_SKILL
173,strong scientific background,H_SKILL
174,understanding technically complex emerging technologies,H_SKILL
175,analysis of market opportunities and forecasts,H_SKILL
176,develop infographics. Represent IDTechEx at international events and by visiting organizations,H_SKILL
177,presenting your work,S_SKILL
178,present your research findings and strategic insights,H_SKILL
179,Undergraduate,REQUIREMENT
180,Master's degree,REQUIREMENT
181,Material Science,LANG_FRAM
182,PhD,REQUIREMENT
183,ability to seek out and present compelling new information and articulate,S_SKILL
184,"analysis both verbally and in writing, with accompanying visuals",H_SKILL
185,attention to detail,S_SKILL
186,solving,S_SKILL
187,MS Word,LANG_FRAM
188,Excel,LANG_FRAM
189,PowerPoint,LANG_FRAM
190,work independently,S_SKILL
191,collaborative attitude,S_SKILL
192,language skills,S_SKILL
193,leadership,S_SKILL
194,presentation skills,S_SKILL
195,engage with clients,S_SKILL
196,strong scientific background,H_SKILL
197,understanding technically complex emerging technologies,H_SKILL
198,analysis of market opportunities and forecasts,H_SKILL
199,develop infographics. Represent IDTechEx at international events and by visiting organisations,H_SKILL
200,presenting your work,S_SKILL
201,present your research findings and strategic insights,H_SKILL
202,Undergraduate,REQUIREMENT
203,Master's degree,REQUIREMENT
204,Material Science,LANG_FRAM
205,PhD,REQUIREMENT
206,ability to seek out and present compelling new information and articulate,S_SKILL
207,"analysis both verbally and in writing, with accompanying visuals",H_SKILL
208,attention to detail,S_SKILL
209,solving,S_SKILL
210,MS Word,LANG_FRAM
211,Excel,LANG_FRAM
212,PowerPoint,LANG_FRAM
213,work independently,S_SKILL
214,collaborative attitude,S_SKILL
215,language skills,S_SKILL
216,leadership,S_SKILL
217,presentation skills,S_SKILL
218,engage with clients,S_SKILL
219,strong scientific background,H_SKILL
220,thermal management,S_SKILL
221,analysis of market opportunities and forecasts,H_SKILL
222,develop infographics. Represent IDTechEx at international events and by visiting organisations,H_SKILL
223,presenting your work,S_SKILL
224,present your research findings and strategic insights,H_SKILL
225,Undergraduate,REQUIREMENT
226,Master's degree,REQUIREMENT
227,Material Science,LANG_FRAM
228,PhD,REQUIREMENT
229,ability to seek out and present compelling new information and articulate,S_SKILL
230,"analysis both verbally and in writing, with accompanying visuals",H_SKILL
231,attention to detail,S_SKILL
232,solving,S_SKILL
233,MS Word,LANG_FRAM
234,Excel,LANG_FRAM
235,PowerPoint,LANG_FRAM
236,work independently,S_SKILL
237,collaborative attitude,S_SKILL
238,language skills,S_SKILL
239,leadership,S_SKILL
240,presentation skills,S_SKILL
241,engage with clients,S_SKILL
242,standing customer relationships,S_SKILL
243,passion,S_SKILL
244,JAVA,LANG_FRAM
245,PYTHON,LANG_FRAM
246,coding,H_SKILL
247,APIs,LANG_FRAM
248,UI test-driven development,H_SKILL
249,database management,H_SKILL
250,Azure,LANG_FRAM
251,"design, development, modification, and maintenance of software products",H_SKILL
252,fair,S_SKILL
253,MSc,REQUIREMENT
254,BSc,REQUIREMENT
255,Java,LANG_FRAM
256,Python,LANG_FRAM
257,understanding of object-oriented concepts,H_SKILL
258,Keen attention to detail,S_SKILL
259,paced environment,H_SKILL
260,communication skills,S_SKILL
261,collaborative,S_SKILL
262,provide a safe and secure environment,H_SKILL
263,Android,LANG_FRAM
264,passion,S_SKILL
265,agile development team,H_SKILL
266,Developing smartphone apps that help patients manage their own,H_SKILL
267,Writing electronic observations systems,S_SKILL
268,Deploying machine-learning algorithms to help with the symptom,LANG_FRAM
269,problem solving,S_SKILL
270,Android,LANG_FRAM
271,2:1,REQUIREMENT
272,A*AA at A-level,S_SKILL
273,3.5,REQUIREMENT
274,AAAAA,LANG_FRAM
275,provide a safe and secure environment,H_SKILL
276,iOS,LANG_FRAM
277,passion,S_SKILL
278,agile development team,H_SKILL
