"Timestamp","Do you hold or are currently studying for a degree?","Is your degree within a science, technology, engineering, or mathematics (STEM) subject?","Please go to https://tech-jobs-dashboard.streamlit.app to view the dashboard and read the navigation information on the home page. Then answer how much you agree or disagree with the following statements. [I can easily identify the top in-demand technologies, languages and frameworks from the dashboard.]","Please go to https://tech-jobs-dashboard.streamlit.app to view the dashboard and read the navigation information on the home page. Then answer how much you agree or disagree with the following statements. [I can easily identify the top in-demand hard skills from the dashboard.]","Please go to https://tech-jobs-dashboard.streamlit.app to view the dashboard and read the navigation information on the home page. Then answer how much you agree or disagree with the following statements. [I can easily identify the top in-demand soft skills from the dashboard]","Please go to https://tech-jobs-dashboard.streamlit.app to view the dashboard and read the navigation information on the home page. Then answer how much you agree or disagree with the following statements. [I can easily identify the educational/miscellaneous requirements from the dashboard.]","Please go to https://tech-jobs-dashboard.streamlit.app to view the dashboard and read the navigation information on the home page. Then answer how much you agree or disagree with the following statements. [I can easily identify the locations with the most jobs from the dashboard.]","Please go to https://tech-jobs-dashboard.streamlit.app to view the dashboard and read the navigation information on the home page. Then answer how much you agree or disagree with the following statements. [I can easily identify which skills are in increasing demand.]","Please go to https://tech-jobs-dashboard.streamlit.app to view the dashboard and read the navigation information on the home page. Then answer how much you agree or disagree with the following statements. [I can easily identify which skills are in decreasing demand.]","Out of all the information seen on the dashboard, what do you find the most useful? ","Is there any additional of information about jobs not shown on the dashboard which you think would be useful to include?","Please answer how much you agree or disagree with the following statements. [The data sources used for the dashboard are credible.]","Please answer how much you agree or disagree with the following statements. [The information presented in the dashboard is trustworthy.]","Is there anything which makes you question the credibility of the dashboard?","Please answer how much you agree or disagree with the following statements. [The dashboard is visually appealing.]","Please answer how much you agree or disagree with the following statements. [The dashboard is easy to navigate.]","Are there any changes to the presentation of the dashboard you would suggest?","Would you recommend this dashboard to a student studying a STEM subject?"
"2024/09/08 6:56:38 PM GMT+1","Yes","Yes","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Agree","The technologies, languages, and frameworks section is very useful information","It could be useful to have a list of which job titles are asking for which skills and qualifications.","Strongly Agree","Unsure","The sample size is somewhat small so it is hard to draw conclusions based on the data.","Agree","Agree","Grids on the bar charts in most sections would make the information easier to see.","Yes"
"2024/09/08 10:52:59 PM GMT+1","Yes","No","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","The number of available jobs in specific locations & concise data of the most desireable hard skills for the tech industry","Perhaps a trend in availability of jobs in certain cities/areas of the country in the near future based on recent openings. For example, an increase or decrease in available jobs in Manchester.","Strongly Agree","Strongly Agree","Whilst the sources are likely credible, it might be useful to include more. A broader set of sources could provide higher reliability and cover a wider spectrum of job openings.","Strongly Agree","Strongly Agree","I can think of nothing particularly important. Perhaps an indication there is more data if you scroll down, but this is nitpicking. ","Yes"
"2024/09/09 9:07:52 PM GMT+1","Yes","No","Agree","Agree","Agree","Unsure","Strongly Agree","Agree","Unsure","Location and the increase / decrease trends","No","Strongly Agree","Agree","No","Unsure","Agree","From a data visualisation standpoint, I would hope it would only display the exact value (not the coding attached) when hovering over a specific element/bar. However, this is not major. Also would consider adding a negative axis on the decrease trends tab. ","Yes"
"2024/09/09 9:12:30 PM GMT+1","Yes","Yes","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","The most useful is the Hard Skills, and the Technologies/Frameworks/Languages sections.","Perhaps information mapping average salaries to the data, for example average salary for each item in the hard skills section or for the Technologies/Frameworks/Languages section. Or even per region as London famously pays higher salaries but would be interesting to see if there is variation between other cities.","Agree","Agree","No seems legit","Agree","Strongly Agree","No","Yes"
"2024/09/10 10:00:56 PM GMT+1","Yes","Yes","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Which skills have increasing demand","Perhaps whether jobs require previous work experience (especially those which are entry level)","Agree","Agree","No","Agree","Strongly Agree","No","Yes"
"2024/09/10 10:01:02 PM GMT+1","Yes","Yes","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Which skills have increasing demand","Perhaps whether jobs require previous work experience (especially those which are entry level)","Agree","Agree","No","Agree","Strongly Agree","No","Yes"
"2024/09/13 8:34:02 PM GMT+1","Yes","Yes","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Trends","Salaries","Unsure","Unsure","Only two sources","Agree","Agree","No it's simple view. More important is the quality of the information ","Unsure"
"2024/09/14 10:16:40 AM GMT+1","Yes","Yes","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Identifying the top 20 hard skills which shows me which ones I should put more time towards getting better at","Data on employment statistics maybe from different degrees or masters and different universities and different areas so you could see where to look for employment with a better chance ","Unsure","Agree","I’m not sure how many people the data has been collected from and whether it has been collected on a large enough scale to be credible ","Strongly Agree","Strongly Agree","","Yes"
"2024/09/14 12:03:05 PM GMT+1","No","","Strongly Agree","Strongly Agree","Agree","Agree","Strongly Agree","Unsure","Unsure","Locations","","Unsure","Unsure","","Agree","Agree","","Yes"
"2024/09/15 3:57:20 PM GMT+1","Yes","Yes","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","I don’t understand the dashboard","","Unsure","Unsure","","Unsure","Disagree","","No"
"2024/09/16 9:51:07 AM GMT+1","Yes","Yes","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Dashboard is clear","","Unsure","Unsure","","Agree","Agree","","Yes"
"2024/09/18 5:40:23 PM GMT+1","Yes","Yes","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Identifying the most useful educational requirements from the dashboard","","Agree","Agree","The format of the questioning","Agree","Agree","No","Yes"
"2024/09/24 9:28:38 AM GMT+1","Yes","Yes","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Skills needed","Salary, WFH/in office, average applications if possible ","Agree","Agree","Indeed has a lot of spam jobs and can easily be manipulated if wanted","Strongly Agree","Strongly Agree","Could make it more colourful/different range of graphs ","Yes"
"2024/09/24 9:31:44 AM GMT+1","Yes","Yes","Strongly Agree","Agree","Agree","Disagree","Unsure","Disagree","Disagree","Hard and Soft Slills ","N/A","Unsure","Unsure","The colour scheme of the website","Unsure","Agree","Make it more compatible with Mobile devices","Unsure"
